id, availability, condition, description, image_link, link, title, price, gtin, mpn, brand, address, neighborhood, availability_radius, product_type, ios_url, ios_app_store_id, ios_app_name, iphone_url, iphone_app_store_id, iphone_app_name, ipad_app_store_id, ipad_app_name, android_url, android_package, android_app_name, windows_phone_url, windows_phone_app_id, windows_phone_app_name, custom_label_0
"04374022-bfb5-4985-bd3b-3042dbf06c45","in stock","new","Tacos Mexico","https://static.ifood.com.br/imagens/ce/marketing-automation/images/mexicano/mexicana_copia.png","https://www.ifood.com.ar/delivery/godoy-cruz-mza/tacos-mexico-ciudad-godoy-cruz","Tacos Mexico","3",,,"iFood","{""latitude"":""-32.921007"", ""longitude"":""-68.859751""}",CIUDAD GODOY CRUZ,"2","Mexicano","ifood://restaurant/04374022-bfb5-4985-bd3b-3042dbf06c45","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/04374022-bfb5-4985-bd3b-3042dbf06c45","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"GODOY CRUZ"
"c7a9e6e9-fe43-41e5-8d62-4ff55ef43970","in stock","new","Viejo John","https://static.ifood.com.br/imagens/ce/marketing-automation/images/pizzas/pizza_copia.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/viejo-john-general-pueyrredon","Viejo John","1",,,"iFood","{""latitude"":""-38.009391"", ""longitude"":""-57.553889""}",GENERAL PUEYRREDON,"2","Pizzas","ifood://restaurant/c7a9e6e9-fe43-41e5-8d62-4ff55ef43970","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/c7a9e6e9-fe43-41e5-8d62-4ff55ef43970","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"e654e36d-427d-428f-be0f-cd4c9ecf6e55","in stock","new","La Tarteria (parque Luro)","https://d1jgln4w9al398.cloudfront.net/imagens/ce/logosgde/Logo+La+tarte_LATAR_ELURO.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/la-tarteria-parque-luro-general-pueyrredon","La Tarteria (parque Luro)","1",,,"iFood","{""latitude"":""-37.970416"", ""longitude"":""-57.557423""}",GENERAL PUEYRREDON,"2","Tartas","ifood://restaurant/e654e36d-427d-428f-be0f-cd4c9ecf6e55","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/e654e36d-427d-428f-be0f-cd4c9ecf6e55","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"15df4874-71d5-4c58-ad78-c75af9c9c7e9","in stock","new","Pizzeria El Siglo","https://d1jgln4w9al398.cloudfront.net/imagens/ce/logosgde/El+Siglo+logo_PIZZE_SIGLO.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/pizzeria-el-siglo-general-pueyrredon","Pizzeria El Siglo","1",,,"iFood","{""latitude"":""-37.987238"", ""longitude"":""-57.559763""}",GENERAL PUEYRREDON,"2","Empanadas","ifood://restaurant/15df4874-71d5-4c58-ad78-c75af9c9c7e9","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/15df4874-71d5-4c58-ad78-c75af9c9c7e9","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"031ca568-a14f-4439-ac10-3043506259af","in stock","new","Lisboa Bar","https://static.ifood.com.br/imagens/ce/marketing-automation/images/pizzas/pizza_copia_4.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/lisboa-bar-general-pueyrredon","Lisboa Bar","1",,,"iFood","{""latitude"":""-38.002031"", ""longitude"":""-57.547543""}",GENERAL PUEYRREDON,"2","Pizzas","ifood://restaurant/031ca568-a14f-4439-ac10-3043506259af","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/031ca568-a14f-4439-ac10-3043506259af","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"ff927592-07b1-486d-80eb-d6e26400bc47","in stock","new","Pepes Pizza (juan B Justo)","https://static.ifood.com.br/imagens/ce/marketing-automation/images/pizzas/pizza.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/pepes-pizza-juan-b-justo-general-pueyrredon","Pepes Pizza (juan B Justo)","1",,,"iFood","{""latitude"":""-37.970626"", ""longitude"":""-57.635121""}",GENERAL PUEYRREDON,"2","Pizzas","ifood://restaurant/ff927592-07b1-486d-80eb-d6e26400bc47","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/ff927592-07b1-486d-80eb-d6e26400bc47","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"d1a168d7-f845-40b8-8155-bccf80dec3f9","in stock","new","Colonial Helados","https://static.ifood.com.br/imagens/ce/marketing-automation/images/helados/helados_copia_4.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/colonial-helados-general-pueyrredon","Colonial Helados","1",,,"iFood","{""latitude"":""-37.9589"", ""longitude"":""-57.56628""}",GENERAL PUEYRREDON,"2","Helados","ifood://restaurant/d1a168d7-f845-40b8-8155-bccf80dec3f9","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/d1a168d7-f845-40b8-8155-bccf80dec3f9","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"54fa7e6e-d1bb-4aaa-9ee8-5cb31bbe7c1c","in stock","new","Crucoli","https://static.ifood.com.br/imagens/ce/marketing-automation/images/cafeteria/shutterstock_599392478.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/crucoli-general-pueyrredon","Crucoli","1",,,"iFood","{""latitude"":""-38.013672"", ""longitude"":""-57.543155""}",GENERAL PUEYRREDON,"2","Cafeteria","ifood://restaurant/54fa7e6e-d1bb-4aaa-9ee8-5cb31bbe7c1c","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/54fa7e6e-d1bb-4aaa-9ee8-5cb31bbe7c1c","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"511843b4-d097-4b2f-a433-3d6dd3b1e152","in stock","new","Oye Pe!","https://d1jgln4w9al398.cloudfront.net/imagens/ce/logosgde/oyepe-logo_OYEPE.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/oye-pe-general-pueyrredon","Oye Pe!","1",,,"iFood","{""latitude"":""-38.012267"", ""longitude"":""-57.538991""}",GENERAL PUEYRREDON,"2","Sushi","ifood://restaurant/511843b4-d097-4b2f-a433-3d6dd3b1e152","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/511843b4-d097-4b2f-a433-3d6dd3b1e152","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
"ae93a848-9a52-4314-94d3-6ddd24d1ad27","in stock","new","Cheche's Helados","https://static.ifood.com.br/imagens/ce/marketing-automation/images/helados/helados_copia_3.png","https://www.ifood.com.ar/delivery/mar-del-plata-ba/cheches-helados-general-pueyrredon","Cheche's Helados","1",,,"iFood","{""latitude"":""-38.008996"", ""longitude"":""-57.539138""}",GENERAL PUEYRREDON,"2","Helados","ifood://restaurant/ae93a848-9a52-4314-94d3-6ddd24d1ad27","483017239","iFood Delivery e Entrega de Comida",,,,,,"ifood://restaurant/ae93a848-9a52-4314-94d3-6ddd24d1ad27","br.com.brainweb.ifood","iFood - Delivery de Comida",,,,"MAR DEL PLATA"
